timestamp,device_id,slice,app,packet_size_bytes,throughput_kbps,latency_ms,jitter_ms,loss_percent,slice_id
2025-09-25T06:47:32.463081+00:00,mmtc-4516,mMTC,env,41,37.126,71.895,6.417,0.183,slice-mmtc
2025-09-25T06:47:32.463081+00:00,mmtc-4498,mMTC,tracker,33,30.855,63.11,9.256,0.103,slice-mmtc
2025-09-25T06:47:32.463081+00:00,mmtc-1667,mMTC,env,104,26.989,217.0,2.721,0.48,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3208,mMTC,sensor,153,17.313,209.119,6.192,0.405,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4164,mMTC,tracker,152,25.927,60.825,5.754,0.429,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-2244,mMTC,sensor,144,38.791,81.771,3.554,0.081,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-1388,mMTC,meter,84,20.059,169.182,9.746,0.036,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3606,mMTC,meter,160,10.695,186.751,1.874,0.232,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3511,mMTC,tracker,156,44.519,202.531,5.988,0.332,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3588,mMTC,meter,111,45.414,66.057,1.943,0.218,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-979,mMTC,tracker,48,7.51,97.49,1.808,0.08,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3016,mMTC,sensor,119,24.062,218.881,1.85,0.443,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-137,mMTC,sensor,176,41.409,249.803,6.09,0.284,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-1887,mMTC,tracker,58,26.261,98.282,6.282,0.003,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-956,mMTC,meter,50,19.76,121.153,0.739,0.264,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-2208,mMTC,env,36,15.657,229.528,6.046,0.073,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-2746,mMTC,env,84,20.728,34.825,3.305,0.214,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-2039,mMTC,meter,175,31.958,198.944,2.945,0.43,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4406,mMTC,sensor,129,22.918,45.252,7.124,0.186,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-1469,mMTC,env,120,38.177,110.294,4.284,0.045,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3507,mMTC,env,142,48.124,123.649,9.606,0.236,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4158,mMTC,env,33,6.83,45.616,3.895,0.444,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4102,mMTC,tracker,53,24.63,65.297,3.671,0.338,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-1512,mMTC,meter,124,2.573,31.183,9.728,0.143,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-540,mMTC,env,82,22.478,244.905,9.802,0.169,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-1259,mMTC,env,148,2.783,203.542,5.094,0.387,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3981,mMTC,tracker,187,27.31,93.267,4.12,0.28,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-2666,mMTC,meter,48,43.617,182.481,2.471,0.242,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3049,mMTC,meter,192,18.386,160.379,9.304,0.33,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-3419,mMTC,sensor,25,13.847,53.38,2.69,0.012,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-796,mMTC,env,200,47.872,237.149,5.519,0.47,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4769,mMTC,meter,28,13.927,119.458,3.922,0.348,slice-mmtc
2025-09-25T06:47:32.463605+00:00,mmtc-4646,mMTC,env,62,10.373,156.635,4.106,0.39,slice-mmtc
